hilos,tiempo_seg,speedup,eficiencia
secuencial,3.593836,1.000000,1.000000
1,3.613471,0.994566,0.994566
2,1.819197,1.975507,0.987753
4,0.967629,3.714064,0.928516
8,0.964137,3.727516,0.465940
