hilos,tiempo_seg,speedup,eficiencia
secuencial,0.022711,1.000000,1.000000
1,0.022912,0.991227,0.991227
2,0.011666,1.946768,0.973384
4,0.007286,3.117074,0.779269
8,0.006197,3.664838,0.458105
