hilos,tiempo_seg,speedup,eficiencia
secuencial,7.047440,1.000000,1.000000
1,7.122148,0.989510,0.989510
2,3.735724,1.886499,0.943249
4,2.023296,3.483148,0.870787
8,1.460862,4.824165,0.603021
