hilos,tiempo_seg,speedup,eficiencia
secuencial,0.020428,1.000000,1.000000
1,0.021262,0.960775,0.960775
2,0.011885,1.718805,0.859402
4,0.006451,3.166641,0.791660
8,0.007120,2.869101,0.358638
