hilos,tiempo_seg,speedup,eficiencia
secuencial,3.526959,1.000000,1.000000
1,3.605438,0.978233,0.978233
2,1.778868,1.982699,0.991349
4,0.979912,3.599261,0.899815
8,0.779108,4.526919,0.565865
